ZoneID,Accessible_ha,Buffer,Threshold,Species,Area_ha,Accessible_pct
10,282349.18,1km,EqSS,Rparvifolia,26609557.92,1.06
17,116895,1km,EqSS,Rleprosula,12774183.83,0.92
10,282669.87,1km,Omission,Rparvifolia,30754479.27,0.92
5,266104.49,5km,Omission,Rleprosula,29943347.82,0.89
2,278.71,1km,High08,Rparvifolia,32296.83229,0.86
22,219334.5,5km,Omission,Rleprosula,26311224.94,0.83
4,212373.16,1km,DanumPlot,Rparvifolia,25498267.02,0.83
17,217653.61,5km,EqSS,Rparvifolia,26115091.18,0.83
8,221978.73,5km,Omission,Rleprosula,27359287.59,0.81
8,231028.99,5km,Omission,Rparvifolia,30895776.44,0.75
17,203037.37,1km,Omission,Rleprosula,27344483.23,0.74
13,6092.58,1km,High08,Rleprosula,834686.3485,0.73
17,207852.52,1km,Omission,Rparvifolia,30779296.84,0.68
8,179837.15,5km,EqSS,Rparvifolia,26590258.04,0.68
18,77116.03,1km,High08,Rparvifolia,11835915.84,0.65
8,160743,5km,DanumPlot,Rparvifolia,25595936.3,0.63
17,151370.38,5km,DanumPlot,Rparvifolia,24978068.76,0.61
10,174082.65,1km,Omission,Rleprosula,29255122.27,0.6
5,177814.57,1km,Omission,Rparvifolia,31375553.74,0.57
5,154078.3,1km,EqSS,Rparvifolia,27409720.24,0.56
5,72269.7,5km,High08,Rparvifolia,13527553.19,0.53
5,134718.89,1km,DanumPlot,Rparvifolia,25794124.75,0.52
13,25095.89,1km,DanumPlot,Rleprosula,5096667.332,0.49
8,123800.35,1km,Omission,Rleprosula,27359287.59,0.45
8,134667.69,1km,Omission,Rparvifolia,30895776.44,0.44
2,118660.5,1km,EqSS,Rparvifolia,27133233.11,0.44
14,60639.89,1km,High08,Rparvifolia,14391734.96,0.42
8,109933.91,1km,EqSS,Rparvifolia,26590258.04,0.41
24,99355.46,5km,Omission,Rleprosula,26169423.27,0.38
8,96819.08,1km,DanumPlot,Rparvifolia,25595936.3,0.38
10,70416.6,5km,EqSS,Rleprosula,19634826.73,0.36
19,84265.75,1km,EqSS,Rparvifolia,25830775.45,0.33
2,80848.67,1km,DanumPlot,Rparvifolia,25670942.23,0.31
22,81785.72,5km,Omission,Rparvifolia,29712849.5,0.28
22,71392.98,1km,Omission,Rleprosula,26311224.94,0.27
17,71128.32,1km,EqSS,Rparvifolia,26115091.18,0.27
5,73155.4,1km,Omission,Rleprosula,29943347.82,0.24
5,2294.65,5km,DanumPlot,Rleprosula,1090338.633,0.21
5,32347.5,5km,EqSS,Rleprosula,16220479.87,0.2
17,49518.96,1km,DanumPlot,Rparvifolia,24978068.76,0.2
10,1199.62,5km,High08,Rleprosula,679613.1546,0.18
3,2.83,1km,High08,Rleprosula,1669.729851,0.17
15,4598.69,5km,EqSS,Rleprosula,2686090.292,0.17
15,51387.89,5km,Omission,Rparvifolia,29726536.95,0.17
5,557.64,5km,High08,Rleprosula,344069.0162,0.16
15,39117.81,5km,Omission,Rleprosula,26301134.32,0.15
3,42534.21,5km,Omission,Rparvifolia,31272054.95,0.14
3,37423.09,5km,Omission,Rleprosula,27850963.32,0.13
10,20938,1km,EqSS,Rleprosula,19634826.73,0.11
10,4986.11,5km,DanumPlot,Rleprosula,4712443.798,0.11
22,33261.12,1km,Omission,Rparvifolia,29712849.5,0.11
5,14951.32,1km,High08,Rparvifolia,13527553.19,0.11
24,26053.51,1km,Omission,Rleprosula,26169423.27,0.1
3,21784.04,5km,EqSS,Rparvifolia,25497579.91,0.09
4,10052.89,5km,High08,Rparvifolia,11801697.22,0.09
15,2248.06,1km,EqSS,Rleprosula,2686090.292,0.08
22,9431.28,5km,EqSS,Rleprosula,12259337.06,0.08
3,20580.62,1km,Omission,Rparvifolia,31272054.95,0.07
3,16991.86,5km,DanumPlot,Rparvifolia,24518332.6,0.07
3,16527.36,1km,Omission,Rleprosula,27850963.32,0.06
5,205.78,1km,High08,Rleprosula,344069.0162,0.06
15,18526.18,1km,Omission,Rparvifolia,29726536.95,0.06
8,7380.66,5km,High08,Rparvifolia,12362839.57,0.06
15,12758.97,1km,Omission,Rleprosula,26301134.32,0.05
3,7569.78,5km,EqSS,Rleprosula,14679665.12,0.05
3,11669.86,1km,EqSS,Rparvifolia,25497579.91,0.05
5,456.3,1km,DanumPlot,Rleprosula,1090338.633,0.04
3,9307.01,1km,DanumPlot,Rparvifolia,24518332.6,0.04
3,4196.7,1km,EqSS,Rleprosula,14679665.12,0.03
5,4984.48,1km,EqSS,Rleprosula,16220479.87,0.03
15,96.9,5km,DanumPlot,Rleprosula,278558.123,0.03
22,2470.7,1km,EqSS,Rleprosula,12259337.06,0.02
15,48.74,1km,DanumPlot,Rleprosula,278558.123,0.02
8,3079.76,1km,High08,Rparvifolia,12362839.57,0.02
10,257.34,1km,DanumPlot,Rleprosula,4712443.798,0.01
3,779.38,1km,High08,Rparvifolia,11796471.15,0.01
4,1569.59,1km,High08,Rparvifolia,11801697.22,0.01
3,1410.86,5km,High08,Rparvifolia,11796471.15,0.01
23,117.72,1km,Omission,Rleprosula,26118793.21,0
10,30,1km,High08,Rleprosula,679613.1546,0
23,434.69,5km,Omission,Rleprosula,26118793.21,0
15,513.52,1km,EqSS,Rparvifolia,25469297.63,0
15,235.47,1km,DanumPlot,Rparvifolia,24487390.91,0
15,1184.51,5km,EqSS,Rparvifolia,25469297.63,0
15,480.03,5km,DanumPlot,Rparvifolia,24487390.91,0
15,3.75,5km,High08,Rparvifolia,11781715.24,0
